title,season,ep_number,rate,duration
Dio the Invader,1,1,7.4,24.0
Kako kara no tegami,1,2,7.5,24.0
Dio to no seishun,1,3,8.0,26.0
Hamon shissô ôbâdoraibu,1,4,7.1,24.0
Ankoku no kishi-tachi,1,5,7.1,25.0
Atashi no yûki,1,6,7.2,25.0
Uketsugu mono,1,7,7.5,24.0
Kessen JoJo & Dio,1,8,7.7,24.0
Saigo no hamon,1,9,8.7,24.0
Nyû Yôku no JoJo,1,10,8.3,24.0
Gêmu no tatsujin,1,11,8.3,25.0
Hashira no otoko,1,12,8.1,25.0
JoJo vs. kyûkyoku seibutsu,1,13,8.4,24.0
Taiko kara kita kyûkyoku senshi,1,14,8.1,23.0
Hîrô no shikaku,1,15,8.3,24.0
Hamon kyôshi Risa Risa,1,16,7.7,25.0
Fukaku wana wo hare!,1,17,8.3,25.0
Shutorohaimu tai no gyakushû,1,18,7.7,26.0
Shi no gake e tsuppashire,1,19,8.1,25.0
Shîzâ kodoku no seishun,1,20,9.4,26.0
Hyaku tai ni no kakehiki,1,21,8.0,26.0
Shin no kakutôsha,1,22,8.7,25.0
Kaze ni kaeru senshi,1,23,8.9,25.0
JoJo wo musubu kizuna,1,24,8.4,24.0
Chô-seibutsu no tanjô!!,1,25,8.8,25.0
Kami to natta otoko,1,26,9.1,25.0
Akuryô ni toritsukareta otoko,2,1,8.2,25.0
Sabaku no wa dare da!?,2,2,7.9,25.0
Dio no jubaku,2,3,7.6,25.0
Tawâ obu Gurê,2,4,7.5,25.0
Shirubâ chariottsu,2,5,7.9,25.0
Dâku burû mûn,2,6,7.3,25.0
Sutorengusu,2,7,7.3,25.0
Debiru,2,8,8.0,25.0
Ierô Tenparansu,2,9,8.3,25.0
Enperâ to Hangudoman sono 1,2,10,8.7,26.0
Enperâ to Hangudoman sono 2,2,11,8.9,25.0
Enpuresu,2,12,7.6,25.0
Howîru obu fôchun,2,13,7.4,25.0
Jasutisu sono 1,2,14,7.7,25.0
Jasutisu sono 2,2,15,8.3,25.0
Rabâzu sono 1,2,16,7.9,25.0
Rabâzu sono 2,2,17,8.4,25.0
San,2,18,7.3,25.0
Desu Sâtîn sono 1,2,19,8.3,25.0
Desu Sâtîn sono 2,2,20,8.6,25.0
Jajjimento sono 1,2,21,8.0,25.0
Jajjimento sono 2,2,22,8.2,25.0
Hai Puriesutesu sono 1,2,23,7.5,25.0
Hai Puriesutesu sono 2,2,24,7.7,25.0
"Iggy the Fool and Geb's N'Doul, Part 1",2,25,7.7,23.0
"Iggy the Fool and Geb's N'Doul, Part 2",2,26,8.2,23.0
Kunumu-shin' no Oingo to 'Toto-shin' no Boingo,2,27,8.3,25.0
